Name,Score,Genres,Type,Episodes,Premiered,Studios,Rating,Members,Favorites
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Spring 1998,Sunrise,R - 17+ (violence & profanity),1251960,61971
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Spring 1998,Madhouse,PG-13 - Teens 13 or older,558913,12944
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,Summer 2002,Sunrise,PG-13 - Teens 13 or older,94683,587
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,Fall 2004,Toei Animation,PG - Children,13224,18
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,Spring 2005,Gallop,PG-13 - Teens 13 or older,148259,2066
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,Spring 2005,J.C.Staff,PG-13 - Teens 13 or older,214499,4101
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,Fall 2002,Nippon Animation,PG-13 - Teens 13 or older,20470,231
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,Spring 2004,A.C.G.T.,PG-13 - Teens 13 or older,117929,979
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Spring 2004,Madhouse,R+ - Mild Nudity,614100,29436
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,Fall 2002,Studio Pierrot,PG-13 - Teens 13 or older,1830540,65586
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,1150,Fall 1999,Toei Animation,PG-13 - Teens 13 or older,1352724,126645
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,Fall 2001,Trans Arts,PG-13 - Teens 13 or older,141832,3124
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,Fall 2004,Toei Animation,PG - Children,3648,16
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,Fall 2004,Studio Comet,PG-13 - Teens 13 or older,275464,5137
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,Fall 2004,Gonzo,R - 17+ (violence & profanity),111734,790
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,Spring 2003,Madhouse,R+ - Mild Nudity,182599,3671
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,Spring 2005,Gonzo,R - 17+ (violence & profanity),158343,1479
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,Fall 2004,Sunrise,PG-13 - Teens 13 or older,80183,887
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,Fall 2004,Studio Deen,PG-13 - Teens 13 or older,16652,152
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,Fall 1995,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older,1160651,71308
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,Fall 1997,OLM,R+ - Mild Nudity,432190,18567
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,Winter 1996,"Gallop, Studio Deen",PG-13 - Teens 13 or older,386195,11236
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,Spring 2002,Bee Train,PG-13 - Teens 13 or older,158227,1359
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,Winter 2005,AIC,PG-13 - Teens 13 or older,135747,1124
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,Spring 2001,Bones,PG-13 - Teens 13 or older,51022,290
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,94793,458
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,Spring 1999,Bee Train,R - 17+ (violence & profanity),14187,17
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,Fall 2003,"Bee Train, Xebec",R - 17+ (violence & profanity),15779,21
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,Fall 2004,Madhouse,R - 17+ (violence & profanity),255668,7038
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,Fall 1999,AIC,R+ - Mild Nudity,65360,389
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,Spring 2002,Madhouse,PG-13 - Teens 13 or older,402646,3859
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,Fall 2003,Gonzo,R - 17+ (violence & profanity),198007,2064
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,Spring 2003,Xebec,PG-13 - Teens 13 or older,167615,1523
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,Summer 2003,"feel., Zexcs",PG-13 - Teens 13 or older,67491,189
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,Summer 2004,Daume,R+ - Mild Nudity,128788,391
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2004,Nomad,PG-13 - Teens 13 or older,176775,2074
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2005,Nomad,PG-13 - Teens 13 or older,93768,516
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,262980,5181
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,Spring 2005,Gonzo,R - 17+ (violence & profanity),156661,1467
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,Fall 2005,Gonzo,PG-13 - Teens 13 or older,231668,1955
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,Fall 2005,Sunrise,PG-13 - Teens 13 or older,9299,13
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,Winter 2002,Gonzo,R - 17+ (violence & profanity),411230,4417
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,Summer 2003,Kyoto Animation,PG-13 - Teens 13 or older,254465,2988
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,Summer 2005,Kyoto Animation,R - 17+ (violence & profanity),227927,1358
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,Fall 2004,Group TAC,G - All Ages,81446,1613
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,Summer 2004,Xebec,PG-13 - Teens 13 or older,40602,255
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2004,Seven Arcs,PG-13 - Teens 13 or older,88890,1036
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2005,Seven Arcs,PG-13 - Teens 13 or older,56981,1014
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,Summer 2005,Asread,R+ - Mild Nudity,240751,1572
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,Spring 1979,Sunrise,PG-13 - Teens 13 or older,97216,1787
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,Spring 1985,Sunrise,PG-13 - Teens 13 or older,53822,1721
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,Spring 1986,Sunrise,PG-13 - Teens 13 or older,30758,130
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,Spring 1993,"Sunrise, Studio Deen",PG-13 - Teens 13 or older,20794,95
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,Spring 1995,Sunrise,PG-13 - Teens 13 or older,132208,2538
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,Spring 1996,Sunrise,PG-13 - Teens 13 or older,28862,189
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2002,Sunrise,R - 17+ (violence & profanity),140346,3584
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2004,Sunrise,R - 17+ (violence & profanity),90208,1206
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,Spring 1999,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older,35670,760
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,Spring 1994,Sunrise,PG-13 - Teens 13 or older,55463,896
